School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Acorn School;;;330 East 26th Street;private;PK;0;N/A;;/new-york/new-york/11635-Acorn-School/
International Pre-School;;;330 East 45th Street;private;PK;0;N/A;;/new-york/new-york/11636-International-Pre-School/
Lenox Hill Neighborhood House;;;331 East 70th Street;private;PK;0;N/A;;/new-york/new-york/11637-Lenox-Hill-Neighborhood-House/
Renanim Manhattan Day Care;;;336 East 61st Street;private;PK;0;N/A;;/new-york/new-york/11639-Renanim-Manhattan-Day-Care/
P A L Head Start Center;;;34 1 2 E 12th Streei;private;PK;0;N/A;;/new-york/new-york/11640-P-A-L-Head-Start-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Lillian Wald Day Care Center;;;34 Avenue D;private;PK;0;N/A;;/new-york/new-york/11641-Lillian-Wald-Day-Care-Center/
Addie Mae Collins Community Serv CC;;;345 E 101st St;private;PK;0;N/A;;/new-york/new-york/11642-Addie-Mae-Collins-Community-Serv-CC/
Addie Mae Collins Head Start;;;345 East 101st Street;private;PK;0;N/A;;/new-york/new-york/11643-Addie-Mae-Collins-Head-Start/
Chelsea Day School;;;319 5th Avenue;private;PK;0;N/A;;/new-york/new-york/11644-Chelsea-Day-School/
Pre-School Of America Pre-School;;;345 West 42nd Street;private;PK;0;N/A;;/new-york/new-york/11645-Pre-School-Of-America-Pre-School/
Little Sister-Assumption Child Development Center;;;349 Pleasant Ave;private;PK;0;N/A;;/new-york/new-york/11646-Little-Sister-Assumption-Child-Development-Center/
Episcopal Pre-Sch-Nyc;;;35 East 69th Street;private;PK;0;N/A;;/new-york/new-york/11647-Episcopal-Pre-Sch-Nyc/
Rhinelander Childrens Center;;;350 East 88th Street;private;PK;0;N/A;;/new-york/new-york/11648-Rhinelander-Childrens-Center/
Gsu Child Development-Learning Center;;;365 5th Avenue;private;PK;0;N/A;;/new-york/new-york/11649-Gsu-Child-Development-Learning-Center/
Children's Aid Society-Ps 5;;;3703 10th Avenue;private;PK, K;0;N/A;;/new-york/new-york/11650-Childrens-Aid-Society-Ps-5/
Manhattan Nursery School;;;38 West 32nd Street;private;PK;0;N/A;;/new-york/new-york/11651-Manhattan-Nursery-School/
Bright Horizons Child Care Center-Greenwich;;;388 Greenwich Street;private;PK;0;N/A;;/new-york/new-york/11652-Bright-Horizons-Child-Care-Center-Greenwich/
Roosevelt Island Day Nrsy;;;4 River Road;private;PK;0;N/A;;/new-york/new-york/11653-Roosevelt-Island-Day-Nrsy/
Creative Steps Playground Ps;;;4 Washington Square Village;private;PK;0;N/A;;/new-york/new-york/11654-Creative-Steps-Playground-Ps/
Buckle My Shoe;;;40 Worth Street;private;PK;0;N/A;;/new-york/new-york/11655-Buckle-My-Shoe/
Columbia Greenhouse Nursery;;;404 West 116th Street;private;PK;0;N/A;;/new-york/new-york/11656-Columbia-Greenhouse-Nursery/
Community Life Head Start;;;15 Mount Morris Park West;private;PK;0;N/A;;/new-york/new-york/11657-Community-Life-Head-Start/
Harlem Chldren Zone Dc-Ps #149;;;41 West 117th Street;private;PK;0;N/A;;/new-york/new-york/11658-Harlem-Chldren-Zone-Dc-Ps-149/
Lipton Corporate Child Care Center;;;410 Park Ave;private;PK;0;N/A;;/new-york/new-york/11659-Lipton-Corporate-Child-Care-Center/
Plaza Head Start;;;410 W 40th St;private;PK;0;N/A;;/new-york/new-york/11660-Plaza-Head-Start/
Quo Vadis Mont Dcc;;;4111 Broadway;private;PK;0;N/A;;/new-york/new-york/11661-Quo-Vadis-Mont-Dcc/
Hartley House Family Day Care;;;413 West 46th Street;private;PK;0;N/A;;/new-york/new-york/11662-Hartley-House-Family-Day-Care/
East River Children's Center;;;416 East 105th Street;private;PK;0;N/A;;/new-york/new-york/11663-East-River-Childrens-Center/
San Jose Day Nursery;;;432 West 20th Street;private;PK;0;N/A;;/new-york/new-york/11664-San-Jose-Day-Nursery/
My Little Steps Learning Center;;;433 W 204th St;private;PK;0;N/A;;/new-york/new-york/11665-My-Little-Steps-Learning-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Bright Horizons Child Care Center-70th;;;435 East 70th Street;private;PK;0;N/A;;/new-york/new-york/11666-Bright-Horizons-Child-Care-Center-70th/
East Harlem Head Start Center;;;440 E 116th St;private;PK;0;N/A;;/new-york/new-york/11667-East-Harlem-Head-Start-Center/
Police Athletic League Ddc;;;441 Manhattan Avenue;private;PK;0;N/A;;/new-york/new-york/11668-Police-Athletic-League-Ddc/
Hudson Guild Day Care;;;441 West 26th Street;private;PK, K;0;N/A;;/new-york/new-york/11669-Hudson-Guild-Day-Care/
Pleasant Avenue Day Nursery;;;451 East 120th Street;private;PK;0;N/A;;/new-york/new-york/11670-Pleasant-Avenue-Day-Nursery/
Wee Care Child Care;;;451 East 83rd Street;private;PK;0;N/A;;/new-york/new-york/11671-Wee-Care-Child-Care/
Bellevue-Educare Child Care Center;;;462 1st Ave;private;PK;0;N/A;;/new-york/new-york/11672-Bellevue-Educare-Child-Care-Center/
Virginia Day Nursery;;;464 East 10th Street;private;PK;0;N/A;;/new-york/new-york/11673-Virginia-Day-Nursery/
Children's Aid Society-Ps 8;;;465 West 167th Street;private;PK, K;0;N/A;;/new-york/new-york/11674-Childrens-Aid-Society-Ps-8/
Ufbco Day Care Center;;;474 West 159th Street;private;PK, K;0;N/A;;/new-york/new-york/11675-Ufbco-Day-Care-Center/
43rd St Kids Pre-School;;;484 West 43rd Street;private;PK;0;N/A;;/new-york/new-york/11676-43rd-St-Kids-Pre-School/
First Step Day Care;;;49 Payson Avenue;private;PK;0;N/A;;/new-york/new-york/11677-First-Step-Day-Care/
Creative Play School;;;5 East 62nd Street;private;PK;0;N/A;;/new-york/new-york/11678-Creative-Play-School/
West Side Ymca Co-Op Nrsy School;;;5 West 63rd Street;private;PK, K;0;N/A;;/new-york/new-york/11679-West-Side-Ymca-Co-Op-Nrsy-School/
Hamilton Madison House Child Care Center;;;50 Madison Street;private;PK;0;N/A;;/new-york/new-york/11680-Hamilton-Madison-House-Child-Care-Center/
Patricia Carbine Child Care Center;;;51 Madison Avenue;private;PK;0;N/A;;/new-york/new-york/11682-Patricia-Carbine-Child-Care-Center/
Epiphany Community Nursery;;;510 East 74th Street;private;PK;0;N/A;;/new-york/new-york/11683-Epiphany-Community-Nursery/
Area 145 Dcc;;;510 West 145th Street;private;PK;0;N/A;;/new-york/new-york/11684-Area-145-Dcc/
Nasry Michelen Day Care Center;;;510 West 145th Street;private;PK, K;0;N/A;;/new-york/new-york/11685-Nasry-Michelen-Day-Care-Center/
Antioch Day Care Center;;;515 West 125th Street;private;PK;0;N/A;;/new-york/new-york/11686-Antioch-Day-Care-Center/
Icahn House West Day Care;;;515 W 41st St;private;PK;0;N/A;;/new-york/new-york/11687-Icahn-House-West-Day-Care/
Christ Church Day School;;;520 Park Avenue;private;PK, K;0;N/A;;/new-york/new-york/11688-Christ-Church-Day-School/
Nthrn Manhattan Perinatal Prtn;;;531 West 155th Street;private;PK;0;N/A;;/new-york/new-york/11689-Nthrn-Manhattan-Perinatal-Prtn/
Montessori School-Manhattan;;;53 Beach Street;private;PK;0;N/A;;/new-york/new-york/11690-Montessori-School-Manhattan/
Polly Dodge Early Learning Center;;;538 West 55th Street;private;PK, K;0;N/A;;/new-york/new-york/11691-Polly-Dodge-Early-Learning-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ywha Of Washington Heights;;;54 Nagle Avenue;private;PK;0;N/A;;/new-york/new-york/11692-Ywha-Of-Washington-Heights/
Postscript at the Town DC;;;540 E 76th St;private;PK;0;N/A;;/new-york/new-york/11693-Postscript-At-The-Town-DC/
Town School Day Care Center;;;540 E 76th St;private;PK;0;N/A;;/new-york/new-york/11694-Town-School-Day-Care-Center/
Town Pre-School;;;540 E 76th St;private;PK;0;N/A;;/new-york/new-york/11695-Town-Pre-School/
Red Balloon Dcc;;;560 Riverside Drive;private;PK;0;N/A;;/new-york/new-york/11697-Red-Balloon-Dcc/
Family Annex Pre School;;;560 West 113th Street;private;PK;0;N/A;;/new-york/new-york/11698-Family-Annex-Pre-School/
International Pre-School;;;120 West 76th Street;private;PK;0;N/A;;/new-york/new-york/11699-International-Pre-School/
East River Child Development Center;;;570 Grand Street;private;PK;0;N/A;;/new-york/new-york/11700-East-River-Child-Development-Center/
Coalition For Human Housing Dc;;;60 Essex Street;private;PK;0;N/A;;/new-york/new-york/11701-Coalition-For-Human-Housing-Dc/
Mahattan Family Court Child Care Center;;;60 Lafayette St;private;PK;0;N/A;;/new-york/new-york/11702-Mahattan-Family-Court-Child-Care-Center/
Bright Horizons Child Care Center-5th St;;;600 5th Avenue;private;PK;0;N/A;;/new-york/new-york/11703-Bright-Horizons-Child-Care-Center-5th-St/
Pre-School Of America Pre-School;;;600 Avenue of the Americas;private;PK;0;N/A;;/new-york/new-york/11704-Pre-School-Of-America-Pre-School/
Broadway Presbyterian Ch Nrsy School;;;601 West 114th Street;private;PK;0;N/A;;/new-york/new-york/11705-Broadway-Presbyterian-Ch-Nrsy-School/
Columbus Pre-School;;;606 Columbus Avenue;private;PK;0;N/A;;/new-york/new-york/11706-Columbus-Pre-School/
Imagine Early Learning Center;;;60 East 97th Street;private;PK;0;N/A;;/new-york/new-york/11707-Imagine-Early-Learning-Center/
Bright Horizons Child Care Center-Ny Presbyterian;;;61 Haven Avenue;private;PK, K;0;N/A;;/new-york/new-york/11708-Bright-Horizons-Child-Care-Center-Ny-Presbyterian/
Washington Heights Child Care Center;;;610 West 175th Street;private;PK;0;N/A;;/new-york/new-york/11709-Washington-Heights-Child-Care-Center/
Ywca Early Learning Center;;;610 Lexington Avenue;private;PK;0;N/A;;/new-york/new-york/11710-Ywca-Early-Learning-Center/
Acdp Day Care;;;611 W 177th St;private;PK;0;N/A;;/new-york/new-york/11711-Acdp-Day-Care/
Mandera Day Care;;;615 W 186th St;private;PK;0;N/A;;/new-york/new-york/11712-Mandera-Day-Care/
Manhattan Kids Club Ii;;;629 East 14th Street;private;PK;0;N/A;;/new-york/new-york/11714-Manhattan-Kids-Club-Ii/
Rena Day Care Center;;;639 Edgecombe Avenue;private;PK, K;0;N/A;;/new-york/new-york/11715-Rena-Day-Care-Center/
Graham-Windham Harlem Child Care Center;;;628-669 Malcolm X Boulevard;private;PK;0;N/A;;/new-york/new-york/11716-Graham-Windham-Harlem-Child-Care-Center/
Mei Wah Day Care Center;;;69 Madison Street;private;PK;0;N/A;;/new-york/new-york/11717-Mei-Wah-Day-Care-Center/
Hunter College Children's Learning Center;;;695 Park Avenue;private;PK;0;N/A;;/new-york/new-york/11718-Hunter-College-Childrens-Learning-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Lesc Short Stat Day Care Center;;;7 Gouverneur St;private;PK;0;N/A;;/new-york/new-york/11719-Lesc-Short-Stat-Day-Care-Center/
Rodeph Sholom Early Chld Div;;;7 West 83rd Street;private;PK;0;N/A;;/new-york/new-york/11720-Rodeph-Sholom-Early-Chld-Div/
Goddard Riverside Child Care Center;;;114 West 91st Street;private;PK;0;N/A;;/new-york/new-york/11721-Goddard-Riverside-Child-Care-Center/
Henry St. III Day Care;;;710-712 E 9th St;private;PK;0;N/A;;/new-york/new-york/11722-Henry-St.-III-Day-Care/
River Park Nursery School;;;711 Amsterdam Avenue;private;PK, K;0;N/A;;/new-york/new-york/11723-River-Park-Nursery-School/
7th Ave Center For Family Svces;;;711 Lenox Avenue;private;PK;0;N/A;;/new-york/new-york/11724-7th-Ave-Center-For-Family-Svces/
West Village Nursery School;;;73 Horatio Street;private;PK;0;N/A;;/new-york/new-york/11725-West-Village-Nursery-School/
Emmanuel Day Care Center;;;737 E 6th St;private;PK;0;N/A;;/new-york/new-york/11726-Emmanuel-Day-Care-Center/
Trinity Parish Pre-School;;;74 Trinity Place;private;PK;0;N/A;;/new-york/new-york/11727-Trinity-Parish-Pre-School/
Happy Face Child Care;;;75 Park Terrace West;private;PK;0;N/A;;/new-york/new-york/11728-Happy-Face-Child-Care/
Hamilton Madison House High School;;;77 Market Street;private;PK, K;0;N/A;;/new-york/new-york/11729-Hamilton-Madison-House-High-School/
Star America Pre-School;;;780 8th Avenue;private;PK;0;N/A;;/new-york/new-york/11730-Star-America-Pre-School/
Lighthouse Pre-School;;;80 Bowery;private;PK;0;N/A;;/new-york/new-york/11731-Lighthouse-Pre-School/
Open Door Day Care Center;;;820 Columbus Avenue;private;PK, K;0;N/A;;/new-york/new-york/11732-Open-Door-Day-Care-Center/
Cravath Children's Center;;;825 8th Avenue;private;PK;0;N/A;;/new-york/new-york/11733-Cravath-Childrens-Center/
Nicholas Cardell Dcc;;;84 Vermilyea Avenue;private;PK;0;N/A;;/new-york/new-york/11734-Nicholas-Cardell-Dcc/
Children's Center-Goldman Sachs;;;85 Broad St;private;PK;0;N/A;;/new-york/new-york/11735-Childrens-Center-Goldman-Sachs/
Park Pre-School;;;275 Greenwich Street;private;PK;0;N/A;;/new-york/new-york/11736-Park-Pre-School/
Frederick Douglas Chldrn's Center;;;885 Columbus Avenue;private;PK;0;N/A;;/new-york/new-york/11737-Frederick-Douglas-Chldrns-Center/
Madison Ave Presbyterian Day School;;;921 Madison Avenue;private;PK;0;N/A;;/new-york/new-york/11738-Madison-Ave-Presbyterian-Day-School/
Little Missionary Day Nursery;;;93 Saint Marks Pl;private;PK;0;N/A;;/new-york/new-york/11739-Little-Missionary-Day-Nursery/
Bellview Educare Chld Center;;;462 1st Avenue;private;PK;0;N/A;;/new-york/new-york/11740-Bellview-Educare-Chld-Center/
Easy Learning Pre-School;;;12404 Rockaway Blvd;private;PK;0;N/A;;/new-york/new-york/12299-Easy-Learning-Pre-School/
Delaware Sydney Head Start;;;Honorable Sidney H Stein;private;PK;0;N/A;;/new-york/new-york/12439-Delaware-Sydney-Head-Start/
Stony Brook Child Care Service;;;South Dr;private;PK;0;N/A;;/new-york/new-york/12605-Stony-Brook-Child-Care-Service/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
All Sts. School;;;52 E 130th St;private;PK, K-8;0;N/A;;/new-york/new-york/13010-All-Sts.-School/
Beis Hamidrash Jeshurun;;;220 Bennett Ave;private;7-12;0;N/A;;/new-york/new-york/13029-Beis-Hamidrash-Jeshurun/
Congregation B'Nai Jeshurun Heb;;;2109 Broadway;private;K-7;0;N/A;;/new-york/new-york/13048-Congregation-BNai-Jeshurun-Heb/
Dwight School;;;291 Central Park West;private;PK-12;802;N/A;;/new-york/new-york/13059-Dwight-School/
The Gateway School;;;211 West 61st Street;private;K;100;N/A;;/new-york/new-york/13068-The-Gateway-School/
George Jackson Academy;;;104 Saint Marks Place;private;4-8;138;N/A;;/new-york/new-york/13071-George-Jackson-Academy/
Gillen Brewer School;;;410 East 92nd Street;private;Ungraded;90;N/A;;/new-york/new-york/13073-Gillen-Brewer-School/
Harlem International Community;;;2116 7th Ave;private;K, 3, 5-9;0;N/A;;/new-york/new-york/13080-Harlem-International-Community/
Learning Spring School;;;247 East 20th Street;private;K-8;189;N/A;;/new-york/new-york/13100-Learning-Spring-School/
Marymount School Of New York;;;1026 5th Avenue;private;PK-12;762;N/A;;/new-york/new-york/13115-Marymount-School-Of-New-York/
Keswell School;;;331 West 25th Street;private;Ungraded;52;N/A;;/new-york/new-york/13116-Mc-Carton-School/
Riverside Montessori School;;;202 Riverside Dr;private;PK, K;0;N/A;;/new-york/new-york/13162-Riverside-Montessori-School/
Rodeph Sholom;;;168 W 79th St;private;PK, K-8;0;N/A;;/new-york/new-york/13165-Rodeph-Sholom/
Rudolf Steiner Upper School;;;15 E 78st St;private;7-12;0;N/A;;/new-york/new-york/13166-Rudolf-Steiner-Upper-School/
The School At Columbia University;;;556 West 110th Street;private;K-8;510;N/A;;/new-york/new-york/13202-The-School-At-Columbia-University/
Trevor Day School Lower;;;4 E 90th St;private;PK, K-12;0;N/A;;/new-york/new-york/13208-Trevor-Day-School-Lower/
Yeshiva Rabbi Samson Raphael Hirsch;;;85 BENNETT AVE # 93;private;1-12;397;N/A;;/new-york/new-york/13233-Yeshiva-Rabbi-Samson-Raphael-Hirsch/
Gani Preschool;;;34 East 14th Street;private;PK;0;N/A;;/new-york/new-york/13244-Gani-Preschool/
Global Technology Preparatory;;;160 East 120th Street;public;6-8;126;12;New York City Geographic District # 4;/new-york/new-york/13284-Global-Technology-Preparatory/
Coalition School For Social Change;;;2351 1st Avenue;public;9-12;123;8;New York City Geographic District # 4;/new-york/new-york/13286-Coalition-School-For-Social-Change/
Nord Anglia International School New York;;;44 East 2nd Street;private;PK-8;143;N/A;;/new-york/new-york/13532-Nord-Anglia-International-School-New-York/
The Lang School;;;26 Broadway, Suite 900;private;K-12;0;N/A;;/new-york/new-york/13534-The-Lang-School/
Blue School;;;241 WATER ST;private;PK-8;242;N/A;;/new-york/new-york/13535-Blue-School/
Montclare Children's School;;;747 Amsterdam Ave;private;2-4;0;N/A;;/new-york/new-york/13536-Montclare-Childrens-School/
Aaron Academy;;;42 East 30th Street;private;7-10;46;N/A;;/new-york/new-york/13538-Aaron-Academy/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Saint Albans;;;317 East 50th Street;private;PK, K-8;0;N/A;;/new-york/new-york/13542-Saint-Albans/
The Montessori School of New York - Manhattan;;;347 East 55th St.;private;PK, K-8;0;N/A;;/new-york/new-york/13548-The-Montessori-School-Of-New-York---Manhattan/
Sephardic Academy of Manhattan ECC;;;1274 Second Avenue (67th street);private;PK;0;N/A;;/new-york/new-york/13578-Sephardic-Academy-Of-Manhattan-ECC/
Gold Material Montessori School - Kips Bay Branch;;;484 2nd Avenue, 2nd Floor;private;PK;0;N/A;;/new-york/new-york/13579-Gold-Material-Montessori-School---Kips-Bay-Branch/
Gold Material Montessori School - East Village Branch;;;41 Avenue B;private;PK;0;N/A;;/new-york/new-york/13580-Gold-Material-Montessori-School---East-Village-Branch/
New York Hebrew;;;121 West 19th Street;private;PK, K-8;0;N/A;;/new-york/new-york/13591-New-York-Hebrew/
Montclare Children's School;;;747 Amsterdam Avenue;private;PK;0;N/A;;/new-york/new-york/13621-Montclare-Childrens-School/
Cooke Center Grammar School;;;219 Stanton Street;private;K-8;0;N/A;;/new-york/new-york/13622-Cooke-Center-Grammar-School/
Downtown Little School;;;15 Dutch St Frnt A;private;PK, K;91;N/A;;/new-york/new-york/13669-Downtown-Little-School/
Clara Mumammad School;;;102 West 116th Street;private;PK-K;2;N/A;;/new-york/new-york/13692-Clara-Mumammad-School/
The Kings Academy;;;2345 3rd Avenue;private;PK, K-9;31;N/A;;/new-york/new-york/13710-The-Kings-Academy/
Mt Pleasant Christian Academy;;;2011 Adam Clayton Powell Junior Boulevard;private;PK, K-12;21;N/A;;/new-york/new-york/13722-Mt-Pleasant-Christian-Academy/
Rebecca School;;;40 E 30th St Lbby 1;private;Ungraded;125;N/A;;/new-york/new-york/13728-Rebecca-School/
The Manhattan Children's Center;;;124 West 95th Street;private;PK;41;N/A;;/new-york/new-york/13742-The-Manhattan-Childrens-Center/
Medical Center Nursery School;;;60 Haven Avenue;private;PK, K;0;N/A;;/new-york/new-york/13810-Medical-Center-Nursery-School/
Avenues The World School;;;259 10th Avenue;private;PK, K-12;1745;N/A;;/new-york/new-york/13812-Avenues-The-World-School/
Sunny Skies Preschool;;;112 Ridge Street;private;PK;0;N/A;;/new-york/new-york/14278-Sunny-Skies-Preschool/
My Little School;;;54 Reade Street;private;PK;0;N/A;;/new-york/new-york/14286-My-Little-School/
Manhattan Free School;;;115 East 106th Street;private;K-12 & Ungraded;23;N/A;;/new-york/new-york/14300-Manhattan-Free-School/
The New Amsterdam School;;;62 Ave B;private;PK, K-1;0;N/A;;/new-york/new-york/14306-The-New-Amsterdam-School/
The Learning Experience Children's Academy;;;28 Washington Street;private;PK;0;N/A;;/new-york/new-york/14307-The-Learning-Experience-Childrens-Academy/
Life Adjustment Center Comprehensive Preschool;;;325 E. 101st street;private;PK;0;N/A;;/new-york/new-york/14315-Life-Adjustment-Center-Comprehensive-Preschool/
Bright Horizons at 200 Liberty Street;;;200 Liberty Street;private;PK;0;N/A;;/new-york/new-york/14319-Bright-Horizons-At-200-Liberty-Street/
The Speyer Legacy School;;;925 9th Avenue;private;K-8;317;N/A;;/new-york/new-york/14323-The-Speyer-Legacy-School/
Ecole Internationale De New York - The Ecole;;;111 East 22nd Street;private;PK-8;214;N/A;;/new-york/new-york/14332-The-Ecole-/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
The Quad Preparatory School;;; 25 Pine Street;private;PK, K-12;0;N/A;;/new-york/new-york/14334-The-Quad-Preparatory-School/
Nycha St Nicholas Community Center;;;2374 Frederick Douglass Boulevard;private;PK;0;N/A;;/new-york/new-york/14349-Nycha-St-Nicholas-Community-Center/
Wl Bonner Youth Enrichment Center;;;130 West 124th Street;private;PK;0;N/A;;/new-york/new-york/14350-Wl-Bonner-Youth-Enrichment-Center/
Citi Group Childrens Center;;;399 Park Avenue;private;PK;0;N/A;;/new-york/new-york/14352-Citi-Group-Childrens-Center/
Children First Four-Times Sq;;;4 Times Square;private;PK;0;N/A;;/new-york/new-york/14367-Children-First-Four-Times-Sq/
Immigrant Social Service Dc;;;71 Hester Street;private;PK;0;N/A;;/new-york/new-york/14372-Immigrant-Social-Service-Dc/
Oversea Chinese Mission Asp;;;154 Hester Street;private;PK;0;N/A;;/new-york/new-york/14373-Oversea-Chinese-Mission-Asp/
Salvation Army A/S Pgrm-Harlem;;;540 Malcolm X Boulevard;private;PK, K;0;N/A;;/new-york/new-york/14374-Salvation-Army-A-S-Pgrm-Harlem/
First Ave After School Dcc-Ps 19;;;185 1st Avenue;private;PK;0;N/A;;/new-york/new-york/14375-First-Ave-After-School-Dcc-Ps-19/
Immigrant Social Serv Dc;;;143 Baxter Street;private;PK;0;N/A;;/new-york/new-york/14377-Immigrant-Social-Serv-Dc/
Children First Dc-Lehman Bros;;;745 7th Avenue;private;PK;0;N/A;;/new-york/new-york/14378-Children-First-Dc-Lehman-Bros/
Childrens Aid Society Is 90;;;21 Jumel Place;private;PK;0;N/A;;/new-york/new-york/14379-Childrens-Aid-Society-Is-90/
Ymca Virtual Y-Ps 181;;;148 Ave & 230 St;private;PK;0;N/A;;/new-york/new-york/14389-Ymca-Virtual-Y-Ps-181/
Nycha Baruch Houses Community Child Care Center;;;605 FDR Drive;private;PK;0;N/A;;/new-york/new-york/14390-Nycha-Baruch-Houses-Community-Child-Care-Center/
Pal Armory Child Center;;;216 Fort Washington Avenue;private;PK;0;N/A;;/new-york/new-york/14403-Pal-Armory-Child-Center/
Cpc Confucius Plaza Dc-Ps 124;;;40 Division Street;private;PK;0;N/A;;/new-york/new-york/14406-Cpc-Confucius-Plaza-Dc-Ps-124/
James Weldon Johnson Center;;;2205 1st Avenue;private;PK;0;N/A;;/new-york/new-york/14425-James-Weldon-Johnson-Center/
Chrystie Street Day Care;;;115 Chrystie Street;private;PK;0;N/A;;/new-york/new-york/14433-Chrystie-Street-Day-Care/
Queen Of Martyrs Little Angels;;;71 Arden Street;private;PK;0;N/A;;/new-york/new-york/14496-Queen-Of-Martyrs-Little-Angels/
Dorothy Day Ec Center Head Start;;;583 Riverside Drive;private;PK;0;N/A;;/new-york/new-york/14497-Dorothy-Day-Ec-Center-Head-Start/
Harlem Childrens Zone Gems Head;;;60 West 117th Street;private;PK;0;N/A;;/new-york/new-york/14498-Harlem-Childrens-Zone-Gems-Head/
Episcopal Social Services Rapu;;;2289 5th Avenue;private;PK;0;N/A;;/new-york/new-york/14555-Episcopal-Social-Services-Rapu/
Pre-School Of America Child Care Center;;;39 Eldridge Street;private;PK;0;N/A;;/new-york/new-york/14587-Pre-School-Of-America-Child-Care-Center/
Chabad Lubavitch Child Care Center-W Side;;;166 West 97th Street;private;PK;0;N/A;;/new-york/new-york/14588-Chabad-Lubavitch-Child-Care-Center-W-Side/
Merlyn Child Development Center;;;75 West End Avenue;private;PK;0;N/A;;/new-york/new-york/14590-Merlyn-Child-Development-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Resurrection Episcopal Dcc;;;119 East 74th Street;private;PK;0;N/A;;/new-york/new-york/14595-Resurrection-Episcopal-Dcc/
Uppr Mnhttn Mental Health Child Care Center;;;1727 Amsterdam Avenue;private;PK;0;N/A;;/new-york/new-york/14598-Uppr-Mnhttn-Mental-Health-Child-Care-Center/
Elements Preschool;;;99 Suffolk St, Ground Floor;private;PK;0;N/A;;/new-york/new-york/14605-Elements-Preschool/
Bright Horizons Child Care Center-475 Main;;;475 Main St;private;PK;0;N/A;;/new-york/new-york/14608-Bright-Horizons-Child-Care-Center-475-Main/
Children's Creative Learning Center;;;4 New York Plaza;private;PK;0;N/A;;/new-york/new-york/14619-Childrens-Creative-Learning-Center/
Knugenx Learning Center;;;90 Bowery;private;PK;0;N/A;;/new-york/new-york/14631-Knugenx-Learning-Center/
Comprehensive Kids Cdc;;;101 Norfolk Street;private;PK;0;N/A;;/new-york/new-york/14632-Comprehensive-Kids-Cdc/
Sephardic Academy-Manhattan;;;1274 2nd Avenue;private;PK;0;N/A;;/new-york/new-york/14633-Sephardic-Academy-Manhattan/
Learning Experience Child Care Center;;;20 West Street;private;PK;0;N/A;;/new-york/new-york/14637-Learning-Experience-Child-Care-Center/
Central Park Montessori School;;;1 West 91st Street;private;PK;0;N/A;;/new-york/new-york/14653-Central-Park-Montessori-School/
House Of Little People Too;;;129 East 90th Street;private;PK;0;N/A;;/new-york/new-york/14683-House-Of-Little-People-Too/
James Weldon Johnson Head Start;;;120 East 110th Street;private;PK;0;N/A;;/new-york/new-york/14702-James-Weldon-Johnson-Head-Start/
Chinatown Dcc After School Pgrm;;;40 Division Street;private;PK;0;N/A;;/new-york/new-york/14725-Chinatown-Dcc-After-School-Pgrm/
Big Apple Sports Club Asp-Ps 6;;;45 East 81st Street;private;PK;0;N/A;;/new-york/new-york/14831-Big-Apple-Sports-Club-Asp-Ps-6/
Immigrant Soc Srvs Asp-Ps #126;;;80 Catherine Street;private;PK;0;N/A;;/new-york/new-york/14832-Immigrant-Soc-Srvs-Asp-Ps-126/
Manhattan Youth A/S-Ps 89;;;201 Warren Street;private;PK;0;N/A;;/new-york/new-york/14834-Manhattan-Youth-A-S-Ps-89/
Cas Asp-Is 218;;;4600 Broadway;private;PK;0;N/A;;/new-york/new-york/14835-Cas-Asp-Is-218/
Ymca Virtual Y Ps 361;;;610 East 12th Street;private;PK, K;0;N/A;;/new-york/new-york/14836-Ymca-Virtual-Y-Ps-361/
Minisink Town House;;;646 Malcolm X Boulevard;private;PK;0;N/A;;/new-york/new-york/14855-Minisink-Town-House/
East 54th St Rec Center;;;348 East 54th Street;private;PK;0;N/A;;/new-york/new-york/14856-East-54th-St-Rec-Center/
Parks & Rec J Robinson Aft/Sch;;;85 Bradhurst Avenue;private;PK;0;N/A;;/new-york/new-york/15045-Parks--Rec-J-Robinson-Aft-Sch/
Middleton-Johnson Day Care;;;2406 Frederick Douglass Boulevard;private;PK, K;0;N/A;;/new-york/new-york/15046-Middleton-Johnson-Day-Care/
Loving Your Family Day Care I;;;504 West 134th Street #1d;private;PK;0;N/A;;/new-york/new-york/15047-Loving-Your-Family-Day-Care-I/
Blue Man Creativity Child Care Center;;;434 Lafayette Street;private;PK;0;N/A;;/new-york/new-york/15048-Blue-Man-Creativity-Child-Care-Center/
Imagine Elc-Vets Kids;;;423 East 23rd Street;private;PK;0;N/A;;/new-york/new-york/15198-Imagine-Elc-Vets-Kids/
